Sim	QM	forNTS	indicator	confidence
790	22	7156.763831208901	0	2
791	23	7192.818167785929	0	1
792	24	7243.335899134838	1	1
793	25	7275.76085245858	1	1
794	26	7302.919439510107	1	2
795	27	7314.924547573775	1	2
796	28	7325.256682929606	1	2
797	29	7312.863561539235	1	2
798	30	7285.171800903276	1	1
799	31	7274.1514517905935	1	1
800	32	7247.274002556064	1	1
801	33	7241.009172364919	1	1
802	34	7250.922533024347	1	1
803	35	7222.720683594144	0	1
804	36	7217.757747005486	0	1
805	37	7200.34744939548	0	1
806	38	7195.546712028739	0	1
807	39	7192.650479911506	0	1
808	40	7192.574257692061	0	1
809	41	7186.750032746845	0	2
810	42	7202.6483527562	0	1
811	43	7205.147051867913	0	1
812	44	7207.477878252471	0	1
813	45	7205.969727004468	0	1
814	46	7211.0116933372665	0	1
815	47	7215.306279717295	0	1
816	48	7229.325907157598	0	1
817	1	7206.472456524075	0	1
818	2	7178.01055506697	0	2
819	3	7136.243792790155	0	2
820	4	7118.02867908294	0	2
821	5	7081.088871197231	0	2
822	6	7082.253853576153	0	2
823	7	7066.121996316648	0	2
824	8	7081.334136293813	0	2
825	9	7067.057755202506	0	2
826	10	7064.649237579708	0	2
827	11	7080.368387551636	0	2
828	12	7110.468609179952	0	2
829	13	7109.917561491677	0	2
830	14	7095.952628980096	0	2
831	15	7103.3956798569125	0	2
832	16	7069.281923749399	0	2
833	17	7042.928735462554	0	2
834	18	7019.954379063829	0	2
835	19	6978.687247801552	0	2
836	20	6928.808061317705	0	2
837	21	6905.82364284417	0	1
838	22	6875.966776786113	0	1
839	23	6880.582189367892	0	1
840	24	6865.833795619236	0	1
841	25	6856.765394641582	-1	1
842	26	6856.145177713585	-1	1
843	27	6883.028841939215	0	1
844	28	6895.381277612009	0	1
845	29	6921.886217383114	0	2
846	30	6916.863253761756	0	2
847	31	6918.207989247287	0	2
848	32	6923.106988613736	0	2
849	33	6946.194559818586	0	2
850	34	6953.061523219838	0	2
851	35	6957.381076547763	0	2
852	36	6969.1007880605885	0	2
853	37	6991.410606114939	0	2
854	38	7010.634101287946	0	2
855	39	7013.0645640058065	0	2
856	40	7032.374594424337	0	2
857	41	7086.269456207066	0	2
858	42	7100.71588774482	0	2
859	43	7107.116168170191	0	2
860	44	7134.76089525672	0	2
861	45	7145.291686898626	0	2
862	46	7172.899339011813	0	2
863	47	7179.673329138488	0	2
864	48	7184.78283524681	0	2
865	1	7196.4764672977135	0	1
866	2	7193.229759418019	0	1
867	3	7206.777135028207	0	1
868	4	7216.554890023094	0	1
869	5	7217.955678684223	0	1
870	6	7206.350583843303	0	1
871	7	7232.947217934641	0	1
872	8	7250.952934709158	1	1
873	9	7289.374976457855	1	2
874	10	7314.136547821743	1	2
875	11	7338.429476510433	1	2
876	12	7352.168696278861	1	2
877	13	7353.288011022365	1	2
878	14	7332.419484240612	1	2
879	15	7319.697364290922	1	2
880	16	7325.40814205745	1	2
881	17	7334.493658769778	1	2
882	18	7331.828987749413	1	2
883	19	7361.257600650829	1	2
884	20	7365.369740098863	1	2
885	21	7369.677542297402	1	2
886	22	7359.080255820348	1	2
887	23	7333.978919536577	1	2
888	24	7312.287660974906	1	2
889	25	7300.5539720953575	1	2
890	26	7289.162562218315	1	2
891	27	7255.740636023801	1	1
892	28	7234.255600652095	0	1
893	29	7217.849100327168	0	1
894	30	7214.209875776342	0	1
895	31	7224.547226891929	0	1
896	32	7215.747870168297	0	1
897	33	7193.260247354817	0	1
